formula_perception_1  | x:nan,	y:nan
formula_perception_1  | obj_id = 2,  x = 285, y = 191, w = 52 x_3d = -0.034 y_3d = 0.198 z_3d = 1.73, prob = 0.234
formula_perception_1  | x:-0.244045,	y:0.0151466
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.0389 y_3d = 0.205 z_3d = 1.73, prob = 0.241
formula_perception_1  | x:-0.243532,	y:0.0200493
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.252
formula_perception_1  | x:-0.244483,	y:0.0201276
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.23
formula_perception_1  | x:-0.244681,	y:0.0201439
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.268
formula_perception_1  | x:-0.244571,	y:0.0201348
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.206
formula_perception_1  | x:-0.244616,	y:0.0201385
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.24
formula_perception_1  | x:-0.244567,	y:0.0201345
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.249
formula_perception_1  | x:-0.244593,	y:0.0201366
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.202
formula_perception_1  | x:-0.244684,	y:0.0201441
formula_perception_1  | obj_id = 2,  x = 285, y = 192, w = 51 x_3d = -0.039 y_3d = 0.205 z_3d = 1.73, prob = 0.201
formula_perception_1  | x:-0.243542,	y:0.0200501
formula_perception_1  | obj_id = 2,  x = 286, y = 192, w = 51 x_3d = -0.0341 y_3d = 0.202 z_3d = 1.73, prob = 0.249
formula_perception_1  | x:-0.239079,	y:0.0200897
